Numero,Codigo_Unico,Nombre,Total_Presupuesto_de_Egresos_Autorizado_PEA,PEA_Servicios_Personales,PEA_Materiales_y_Suministros,PEA_Servicios_Generales,PEA_Transferencias,PEA_Bienes_Muebles_e_Inmuebles,PEA_Obras_Publicas_y_Construcciones,PEA_Deuda_Publica_Presupuestada,PEA_FISM,PEA_FORTAMUN_DF,PEA_Otras_Aportaciones,PEA_Inversion_en_Infraestructura_y_Equipamiento_Urbano_Municipal,Total_Presupuesto_de_Egresos_Ejercido_PEE,PEE_Servicios_Personales,PEE_Materiales_y_Suministros,PEE_Servicios_Generales,PEE_Transferencias,PEE_Bienes_Muebles_e_Inmuebles,PEE_Obras_Publicas_y_Construcciones,PEE_Deuda_Publica_Presupuestada,PEE_FISM,PEE_FORTAMUN_DF,PEE_Otras_Aportaciones,PEE_Inversion_en_Infraestructura_y_Equipamiento_Urbano_Municipal,Poblacion_Total,Ejercicio
21,200100210000000000, DR. BELISARIO DOMINGUEZ ,20889769.43,6494466.67,2544000,2881500,3547000,625000,840686.65,0,2653443,1303673.11,0,0,17699885.34,5482478.49,2497142.62,3100660.45,3036466.21,0,2557056.63,0,77864.19,948216.75,0,0,2911,2012
22,200100220000000000, EL TULE ,16526340.37,5781509.23,958725,1645888.68,3199862,0,1780334.52,400794,1922207,837019.94,0,0,18405663.23,6676312.68,979725.22,1307063.9,3480149.81,0,996469.82,0,946065,867836.41,3151262.39,778,1869,2012
23,200100230000000000, GALEANA ,21981231.5,6485720,1578500,4145012,2135008,345000,1940022.23,1365000,1348274,2638695.27,0,0,21185368.71,6690577.87,3209015.52,4080991.32,2447233.51,0,179635.31,0,843629.36,2261273.14,1473012.68,0,5892,2012
24,200100240000000000, GOMEZ FARIAS ,29741263.64,7237950,1733000,5617000,5288000,700000,1469487.29,0,3813622,3882204.35,0,0,28017082.35,5600431.65,790441.44,4435065.68,4328387.48,0,2799676.41,0,1919966.05,3390524.79,4432150.39,320438.46,8624,2012
25,200100250000000000, GRAN MORELOS ,18634211.05,5587452,2221854.44,3082317.3,3071346.77,1125000,255000,0,1854110,1437130.54,0,0,18065430.9,6186493.13,2350378.61,3409797.76,2230988.18,0,128163.51,0,812648.59,976201.35,1576630.86,394128.91,3209,2012
26,200100280000000000, GUACHOCHI ,144250935.4,32755918.13,2737000,3809000,4875000,0,0,0,77821110,22252907.22,0,0,171653067.4,26177571.28,2132778.69,4809047.81,4806467.86,0,0,0,111094401.9,21663239.71,-363.33,969923.39,49689,2012
27,200100260000000000, GUADALUPE ,32326912,11918367,2626150,2202200,3585000,1278000,2298678,0,4012371,4406146,0,0,36590380.81,10117925.02,2790711.52,4127894.88,3738296.25,0,4539627.31,5025.36,3813215.88,765174.83,5853004.9,839504.86,6458,2012
28,200100270000000000, GUADALUPE Y CALVO ,162883136.2,22415735,2352800,6504901,11647288.97,900000,5714305.34,0,89388914,23959191.84,0,0,160196328.1,22272975.82,2631340.27,8011944.2,14594044.16,0,2901923.48,0,85880754.26,23903345.92,0,0,53499,2012
29,200100290000000000, GUAZAPARES ,36726447.59,10063085.34,1722680,2475048.4,2552800,1030000,0,0,14853136,4029697.85,0,0,34681401.47,9094379.57,1444074.36,3368780.79,2076314.87,0,0,0,8076104.76,3093924.16,7527822.96,0,8998,2012
30,200100300000000000, GUERRERO ,122158851.7,30758400,2457900,10301000,16415528,1575000,9292959.71,4998250,28613558,17746256,0,0,104751683.9,30439546.45,1825308.89,11792847.1,18469395.78,0,10329589.86,0,17034343.6,14860652.23,0,0,39626,2012
31,200100310000000000, HIDALGO DEL PARRAL ,297093873,141476776.6,18173354.3,38478712.54,13224603.51,8669007,14769231.2,110001,14245589,47946597.84,0,0,301606186.5,149027299.3,16189248.14,52584217.39,10662280.27,0,11433466.78,226709.9,13237255.53,48245709.19,0,0,107061,2012
32,200100320000000000, HUEJOTITAN ,16459282.81,7377000,1226000,1137000,2265000,560000,2154623.73,0,1269871,469788.08,0,0,16940329.75,6483099.26,1328196.45,890656.51,2394997.6,0,3592436.61,0,527746,0,1723197.32,0,1049,2012
33,200100330000000000, IGNACIO ZARAGOZA ,27528236.22,11278283,2065000,4117939.54,2271850.24,0,0,0,4689815,3105348.44,0,0,27810796.61,9478028.56,2535046.67,4932091.41,2111695.46,0,6163.16,0,2248714.19,2334381.07,3526746.02,637930.07,6934,2012
34,200100340000000000, JANOS ,27348642,6805824,2368360,4606584,2228000,505000,1672412,0,4557087,4605375,0,0,30854886.7,7323031.29,4595111.82,5493172.43,2435720.07,,577620.49,0,3928284.81,4688387.63,1143573.62,669984.54,10953,2012
35,200100350000000000, JIMENEZ ,109252908.5,44859839.03,5544926.68,8684000.04,2818643.92,0,13873833.16,3300000,11691394,18480271.62,0,0,104367040.1,46221687.83,10304937.51,12135514.95,4596257.12,0,3343398.55,0,10349616.55,11315758.53,3502514,2597355.03,41265,2012
36,200100360000000000, JUAREZ ,2824643968,1064309450,94679485.03,624682551.9,499025572.9,113825177,343760020,60750000,0,0,23611710.67,0,2910186249,1070255392,112949605.9,663969633.9,507344947.7,101573092.8,384952202.5,57737014.92,0,0,11404359.54,0,1332131,2012
37,200100370000000000, JULIMES ,23260207.95,8141450.26,2279000,3376100,2772540.09,450000,2270847.6,240000,1512100,2218170,0,0,21087700.25,7939555.79,1465567.11,1685983.89,3217022.82,0,367288.66,2350,1318330.59,1734035.66,2875236.05,482329.68,4953,2012
38,200100380000000000, LA CRUZ ,19351080.83,6561058.35,2194002,3142841.21,2214000,360002,1575365.53,0,1520498,1783313.74,0,0,19586109.55,6204407.65,1977073.68,3992161.36,1467009.92,0,1457912.98,0,812265.73,1297912.1,2377366.13,0,3982,2012
39,200100390000000000, LOPEZ ,21624387.75,7386278.27,3092100,2837412.69,2047600,780153.33,1034182.08,887163.35,1756927,1802571.03,0,0,23566156.22,7408402.8,3865579.23,3233304.64,2335770.68,0,2314063.52,0,1473767.78,1632213.5,1198137.37,104916.7,4025,2012
