Numero,Codigo_Unico,Nombre,Total_Presupuesto_de_Egresos_Autorizado_PEA,PEA_Servicios_Personales,PEA_Materiales_y_Suministros,PEA_Servicios_Generales,PEA_Transferencias,PEA_Bienes_Muebles_e_Inmuebles,PEA_Obras_Publicas_y_Construcciones,PEA_Deuda_Publica_Presupuestada,PEA_FISM,PEA_FORTAMUN_DF,PEA_Otras_Aportaciones,PEA_Inversion_en_Infraestructura_y_Equipamiento_Urbano_Municipal,Total_Presupuesto_de_Egresos_Ejercido_PEE,PEE_Servicios_Personales,PEE_Materiales_y_Suministros,PEE_Servicios_Generales,PEE_Transferencias,PEE_Bienes_Muebles_e_Inmuebles,PEE_Obras_Publicas_y_Construcciones,PEE_Deuda_Publica_Presupuestada,PEE_FISM,PEE_FORTAMUN_DF,PEE_Otras_Aportaciones,PEE_Inversion_en_Infraestructura_y_Equipamiento_Urbano_Municipal,Poblacion_Total,Ejercicio
19,200100170000000000, CUSIHUIRIACHI ,26151205,7543201,2432536,3916792,3542655.5,45000,4043902.33,0,2087623.61,2539494.56,0,0,26955741.58,8341759.81,2547946.87,4049489.5,4411917.96,0,1750501.48,0,1870447.11,1998767.47,1984911.38,0,5414,2013
20,200100200000000000, DELICIAS ,352626127.1,147089272.8,20483198.57,61642654.56,42247499.49,1462890.54,42778845,36821766.16,0,0,100000,0,375240840.6,161728680.8,21633537.49,74520461.62,60452091.55,0,54182735.58,2723333.61,0,0,0,0,137935,2013
21,200100210000000000, DR. BELISARIO DOMINGUEZ ,19556339.69,6023466.67,2537000,2927000,2887000,95000,2841708.54,0,879728.82,1365435.66,0,0,21174322.27,7094809.54,2815371.03,3419139.6,3000387.41,0,2343262.02,0,1347078.84,1154273.83,0,0,2911,2013
22,200100220000000000, EL TULE ,15991297.73,5679969.23,848480,1091674.76,3197370,0,2619428.04,733210.89,944490.39,876674.42,0,0,16346811.19,5977333.49,1479948.87,1561188.25,3457215.89,0,1656392.47,0,664382.99,860097.23,690252,0,1869,2013
23,200100230000000000, GALEANA ,22779556.54,6960331.09,2309500,5128000,3391000,0,750000,0,1477019.89,2763705.56,0,0,23635656.16,7501939.98,2502889.97,4593407.27,2197298.42,0,685726.69,0,1669511.02,3010522.84,1474359.97,0,5892,2013
24,200100240000000000, GOMEZ FARIAS ,25762897.43,6260660,1193000,4137000,6178000,230000,1503975.59,0,0,0,6260261.84,0,32973790.8,5659320.14,1694857.25,4984204.81,5832190.82,0,4565894.59,0,2936483.6,3921909.06,3110977.67,267952.86,8624,2013
25,200100250000000000, GRAN MORELOS ,18151507.2,6221984.04,2076047.36,3990692,2900484,24000,0,395853,1037231.05,1505215.75,0,0,20735250.17,6281497.46,2362002.38,3994322.01,3560665.94,0,339029.19,0,1434514.11,1186482.16,1576736.92,0,3209,2013
26,200100280000000000, GUACHOCHI ,172171752.5,27302150,6340000,6882053.61,5840000,0,150000,418733.52,101931658.9,23307156.49,0,0,179708185.3,28102634.78,3468230.77,6280056.81,6969351.82,0,3432721.81,0,103904080.1,24756742.64,2738741.59,55624.9,49689,2013
27,200100260000000000, GUADALUPE ,31176123.27,11654614.67,3210882.9,4345000,3585000,320000,2826373.7,0,2205058,3029194,0,0,30994416.84,13002950.36,3318368.96,2584059.93,3739225.65,0,1888094.52,6981,2317489.48,4137246.94,0,0,6458,2013
28,200100270000000000, GUADALUPE Y CALVO ,173915965.5,22165766,2416738,8003587.6,11952796.3,1300000,5090066.56,700000,97192733.28,25094277.71,0,0,188524810.8,23330357.01,3203883.46,9586873.49,15398466.37,0,1352605.59,0,110939799.3,24712825.57,0,0,53499,2013
29,200100290000000000, GUAZAPARES ,38558922.91,10799616.29,1445000,2800500,2430000,600000,0,0,16041386.88,4442419.74,0,0,43295507.52,14511608.42,1521147.86,3700907.27,3383015.53,0,535672.91,0,18917734.59,2991870.45,-2266449.51,0,8998,2013
30,200100300000000000, GUERRERO ,111889848,35014345,774000,12070000,11475465,825000,6128172,4983162,22032705,18586999,0,0,110478002.4,32973444.14,2092476.17,12717144.23,19410676.14,0,3458389.86,0,21071197.33,18754674.48,0,0,39626,2013
31,200100310000000000, HIDALGO DEL PARRAL ,294788161.9,152295260.6,14695000,48078358.11,10419000,1825000,3690000,0,13300439.92,50218103.24,267000,0,298826664.1,152170766.7,11858663.08,51489823.21,11550317.6,0,4013523.64,214114.82,14084786.01,53444669.12,0,0,107061,2013
32,200100320000000000, HUEJOTITAN ,16354515.95,7983200,1287000,1182500,2285000,130000,2438501.66,0,556269.63,492044.66,0,0,16673836.34,8115327.2,2399803.7,970884.69,2711265.67,0,1433242.78,0,520247.14,523065.16,0,0,1049,2013
33,200100330000000000, IGNACIO ZARAGOZA ,25585765.45,9143851.06,1928537.6,2416500,1512000,0,5000296.2,0,2332113.78,3252466.81,0,0,27976668.53,10786035.25,2874605.9,4707372.86,2679280.13,0,384901.82,-866.91,1364937.73,3689275.37,1484574.48,6551.9,6934,2013
34,200100340000000000, JANOS ,29274501.46,7779695.27,2453360,4722113,2116840,515200,2605595.16,0,3944076.32,5137621.71,0,0,34246946.44,8483841.85,4195930.2,6848896.14,2135514.43,161264,314229.85,0,4496552.39,5374784.96,2153884.29,82048.33,10953,2013
35,200100350000000000, JIMENEZ ,107457225,47670166.57,6504623.04,12113050,3265824,0,9407413.13,2161901.34,6978457.63,19355789.26,0,0,106938110.1,50335935.92,10472313.5,15390345.92,4185950.66,0,9176734.03,0,4968282.81,12015555.84,0,392991.42,41265,2013
36,200100360000000000,JUAREZ,2945157130,1109877915,126617068.7,654532703.8,528892489.1,17691743,427801317,57750000,0,0,21993893.24,0,3161360764,1380215300,124681518,1097325409,488571921,16494830,0,54071786,0,0,0,0,1332131,2013
37,200100370000000000, JULIMES ,21974867.05,7831886.15,1826500,3210002.42,3531000,0,1881071.18,0,1371149.72,2323257.58,0,0,23405693.5,7973337.3,1986389.01,2554333.74,3762540.17,0,195439.43,2804,1531111.45,2342878.19,2985539.89,71320.32,4953,2013
38,200100380000000000, LA CRUZ ,19061769.51,6304733,2443019.52,4000800,2684000,50000,1004618.4,220870,485928.87,1867799.72,0,0,27159035.02,6803421.11,2900678.95,4261389.18,2122381.38,0,2308396.77,0,394801.83,1420043.31,6947922.49,0,3982,2013
39,200100390000000000, LOPEZ ,21890879.76,7475600.85,2685100,2130550.28,1669171.76,236000,1105080.24,3700000,1001407.36,1887969.27,0,0,25944282.64,7659089.51,4093496.91,2957816.35,2011738.91,0,2880478.1,0,605374.7,1993173.07,3722785.09,20330,4025,2013
40,200100400000000000, MADERA ,105648551.6,50456463.68,5946000,9214500,9814939.11,100000,0,650000,15577292.82,13889356.01,0,0,127938628.9,65709523.86,3396002.67,12984621.95,10696325.33,0,3304246.34,0,19029837.48,7436067.53,5382003.73,0,29611,2013
41,200100410000000000, MAGUARICHI ,17499172.79,7394488,3275300,1316171.15,1601520,188000,420000,0,2402628.06,901065.58,0,0,18412976.39,7414138.56,2492697.43,1536493.4,1491338.49,0,636870.88,0,2003391.18,866154.79,1971891.66,0,1921,2013
42,200100420000000000, MANUEL BENAVIDES ,20081863.05,8011433,1439700,2643520.96,2793000,626660.59,2166971.2,991013,658598.14,750966.16,0,0,21772917.93,7286103.38,1519605.54,2044401.73,3283910.93,0,3930974.54,171744.31,772648.46,790075.57,1973453.47,0,1601,2013
43,200100430000000000, MATACHI,17690564.82,6650756.48,1509500,2477000,2828285.79,65000,1004618.4,650354.66,1049085.12,1455964.37,0,0,19172684.89,6257475.45,2741747.98,2962681.62,3055617.43,0,222495.7,0,1137816.7,1429568.65,1365281.36,0,3104,2013
44,200100440000000000, MATAMOROS ,20568173,8268607.46,1211888.22,3256426.6,2174600,222185.82,1393429.36,0,1930731.51,2110304.03,0,0,22266523.21,8234844.09,1808647.69,3914940.11,2223830.57,0,1630834.9,0,969402,2105570.79,1378453.06,0,4499,2013
45,200100450000000000, MEOQUI ,93491148.45,37122447.45,2276000,2668685.42,9729414.58,0,0,13901451.31,7232812.59,20560337.1,0,0,95155055.16,42553457.81,5116879.44,11554613.34,6719689.73,17919.79,211501.52,222031.5,6410846.45,16700964.32,5365379.11,281772.15,43833,2013
46,200100460000000000, MORELOS ,38980391.62,8225700,1396000,2556000,3436000,155767,1372978.48,0,17924572.83,3913373.31,0,0,40270495.9,8260182.44,1681226.51,2599242.77,4330548.84,0,108801.54,0,14282294.09,2999512.23,6008687.48,0,8343,2013
47,200100470000000000, MORIS ,24277719.5,7149194.25,2513801.28,2462288.17,1645000,385000,1519228.32,0,6111557.11,2491650.37,0,0,30775572.46,6763476.42,2628914.57,3984831.21,2448247.17,0,973790.77,0,8188173.98,2463582.2,3324556.14,0,5312,2013
48,200100480000000000, NAMIQUIPA ,66285908.63,27567652.58,4325238.14,8959778.35,3863000,852000,4587757.36,286742.18,5111631.5,10732108.52,0,0,71110392.3,26653395.64,8274552.4,14460464.07,1753673.88,0,231500.02,84290.06,5193766.68,9448862.43,5009887.12,0,22880,2013
49,200100490000000000, NONOAVA ,19592974.27,6528112.01,1470200,2583440.64,2956360,180000,1181350.64,221581.46,3135575.62,1336353.9,0,0,22279170.32,5802297.53,1747288.7,3346920.26,3149620.67,0,1178009.57,0,3914816.45,82573.15,3057643.99,0,2849,2013
50,200100500000000000, NUEVO CASAS GRANDES ,135505675.7,65827627.52,8231588.52,16858028.93,4231437,2038678.15,3056000,0,7504061.59,27758254,0,0,141279793.1,68404746.79,8647452.25,19384222.68,4286558.83,0,4455716.2,0,9162394.39,26760027.18,0,178674.8,59337,2013
51,200100510000000000, OCAMPO ,39116548.12,8330791.94,2147000,3204000,2855000,190000,9471214.98,0,9379009.25,3539531.95,0,0,43177329.74,8804376.76,2857992.76,3945145.19,3783094.1,0,12636804.61,0,8028741.3,2622580.02,498595,0,7546,2013
52,200100520000000000, OJINAGA ,77741100.72,32333750.39,5224977,10405384.01,6051436,273000,6992041.29,0,4122339.71,12338172.32,0,0,74972683.47,34796915.06,3752278.53,7251168.04,4985971.27,0,7477762.43,30656.69,3941023.62,10700936.79,714761.04,1321210,26304,2013
53,200100530000000000, PRAXEDIS G. GUERRERO ,21989084.21,8199955.76,2335970,3816927.16,1430765.14,31500,1573902.12,241981,2107060.79,2251022.24,0,0,23539115.82,8001255.62,2466269.38,3604053.69,1407098.16,0,2620202.37,0,2077421.43,4420694.03,-1500000,442121.14,4799,2013
54,200100540000000000, RIVA PALACIO ,34291878.44,11544304,4623500,6840500,4628000,748000,1137593.38,0,1011866.83,3758114.23,0,0,31122465.04,11213001.27,3757197.06,6503061.42,4170060.86,0,1313602.64,0,607534.96,3558006.83,0,0,8012,2013
55,200100550000000000, ROSALES ,41366736.26,13334748.33,4143873.12,5289323.7,2583211.38,133500,1464997.59,3242365.92,3301532.58,7873183.64,0,0,40780329.44,17790192.83,5420699.46,4685511.81,3000714.33,0,752886.04,8004.86,4309095.3,669600.78,4143624.03,0,16785,2013
56,200100560000000000, ROSARIO ,17850193.31,5962354,2293500,2442356.79,3241856,50000,904156.56,720382,1187237.32,1048350.64,0,0,20456212.14,5744134.04,1492839.42,2673716.77,4071156.82,0,1630849.48,0,1226511.64,976670.96,2640333.01,0,2235,2013
57,200100570000000000, SAN FRANCISCO DE BORJA,17751415.2,8147563.81,1476000,2969554.04,1807112,245000,904156.56,1127879.82,1074148.97,0,0,0,17871204.46,7627197.59,2160531.42,2929125.51,2241723.59,4298.9,1189381.93,0,1128188.85,209148.37,368639.28,12969.02,2290,2013
58,200100580000000000, SAN FRANCISCO DE CONCHOS ,19078578.75,8086938.8,1267070.69,2142900,3234580.21,38000,904156.56,1545508.46,460216,1399208.03,0,0,20193450.16,7560004.65,1679423.48,2790506.94,3050182.93,0,665263.78,4783.56,497391.54,950633.97,2995259.31,0,2983,2013
59,200100590000000000, SAN FRANCISCO DEL ORO ,34120996.18,18800830,1917300.08,3303114.84,2934558,72000,1800000,1384424,1780168,2128601.26,0,0,34617180.48,24995459.63,1599388.93,3577799.15,2974446.49,0,1459208.54,0,3162.16,4728.58,1392,1595,4753,2013
60,200100600000000000, SANTA BARBARA ,56744070.7,30235603.41,3235115.26,5662700,3417000,50000,5134221.87,3106135.6,1789179.98,4114114.58,0,0,58375512.87,34363877.43,3222397.51,6790137.14,3300599.85,0,4423001.94,0,2047630.44,4196734.16,0,31134.4,10427,2013
61,200100610000000000, SANTA ISABEL ,20347069.74,8429430.88,1174000,3950120.95,1500056,85000,1172054.8,1539048.81,650666.37,1846691.93,0,0,20120387.93,8480095.69,1045640.68,3522484.72,1663144.27,0,2117992.07,0,719545.45,2414788.05,141751,14946,3937,2013
62,200100620000000000, SATEVO,23902000.71,9009320.98,4412000,3821667.35,1770000,210000,1969495.34,0,992516.8,1717000.24,0,0,25421636.99,9047768.69,5367279.99,3116487.72,1539441.03,0,547603.39,12500,1045516.27,2093392.7,2602296.8,49350.4,3662,2013
63,200100630000000000, SAUCILLO ,80002869.11,30663419.3,3826854.75,4378179.95,7891181.06,6000,4889142.88,8930807.31,4658911.16,14758372.7,0,0,78940906.07,34078888.57,7406000.5,10602011.06,9852077.81,0,469580.53,0,3365957.73,11256396.81,1331384.09,578608.97,32325,2013
64,200100640000000000, TEMOSACHIC ,28857274.47,8439263.47,2644000,3223000,3729975,210000,1674364,300000,5723336,2913336,0,0,31226068.05,8066240.33,3795053.12,2993779.37,3733393.72,0,2796998.58,0,5298811.77,2337702.49,2204088.67,0,6211,2013
65,200100650000000000, URIQUE ,76018774.52,13141861.48,2265021.36,4720524.79,4890408,480000,3584638.08,0,37374049.64,9562271.17,0,0,75312888.35,11711874.16,3244911.31,7372538.52,6117921.14,0,2270970.79,0,32468306.52,10390191.99,1736173.92,0,20386,2013
66,200100660000000000, URUACHI ,39030291.54,10584903.25,2584525.21,1857000,2439000,0,0,1868977.68,15849587.76,3846297.64,0,0,44029051.97,10275383.47,2031290.21,3321628.59,4037793.67,0,1213310.95,0,18832053.11,2318591.07,1999000.9,0,8200,2013
67,200100670000000000, VALLE DE ZARAGOZA ,24814003.41,7612062.92,3683499.57,4447100,2268000,0,2077407.76,818563.37,1512814.98,2394554.81,0,0,25848370.49,7984301.01,4293568.53,5045894.41,3224156.11,0,1670405.99,0,1447268.94,2179902.18,2873.32,0,5105,2013
1,200100010000000000, AHUMADA ,47244280.71,20309081.71,3084000,6046000,4564000,1400000,2782355.4,0,3038517.54,6020326.06,0,0,57253783.95,17223747.88,4951315.61,12015295.73,5738567.84,0,3828567.73,0,6179658.49,7316630.67,0,0,11457,2014
2,200100020000000000, ALDAMA ,61849968.26,23806806.76,3799000,8749000,4860000,618087.1,4724766.1,0,3573244.7,11719063.6,0,0,64812810.03,21345623.14,4625757.87,10839047.33,5713062.01,0,3574773.75,30919.59,2827885.23,10684635.24,5171105.87,0,22302,2014
3,200100030000000000, ALLENDE ,38113107.16,12840800,4292200,5237765.51,3481563.47,660000,2850711.7,2000000,2331377.31,4418689.17,0,0,42037212.98,14857093,4305044.39,6594990.74,4232318.22,0,5141948.06,0,2307160.5,4584424.99,348,13885.08,8409,2014
4,200100040000000000, AQUILES SERDÁN ,44817573.79,19150971.67,3483871.81,6249879.04,4721171.71,0,4325000,0,1270441.03,5616238.53,0,0,39231832.41,21636884.1,2448639,6773727.4,3129566.96,0,1507894.06,0,136440.19,3298945.7,299735,0,10688,2014
5,200100050000000000, ASCENSIÓN ,56370707.02,14961624.71,2356100,7640500,9046387.25,226500,1609000,0,7932417.77,12598177.29,0,0,62542937.64,18464369.17,4276285.99,7886197.26,9263052.94,0,1035041.01,217768.97,8590152.44,12809605.86,464,0,23975,2014
6,200100060000000000, BACHINIVA ,27060116.03,8599682.4,1553000,3874000,5327504,0,2487204.9,0,2060116.03,3158608.7,0,0,32079908.23,9806563.44,2507783.2,6212084.7,4418405.89,0,1250403.61,0,487425.89,2909067.73,4488173.77,0,6011,2014
7,200100070000000000, BALLEZA ,74095050.17,16321166.67,2669000,2233200,5068706.82,380000,3275999.1,0,34860846.65,9286130.93,0,0,75157032.3,19065203.95,3319410.75,4420213.46,2509235.05,0,2217664.99,0,35353700.31,8271603.79,0,0,17672,2014
8,200100080000000000, BATOPILAS ,71825421.43,9627925.64,4570677.32,3896000,1651500,120000,2635835,0,41776662.94,7546820.53,0,0,70736910.01,7765165.56,3434923.29,7294108.54,2350276.83,0,1152515.17,14331.34,39696846.91,6275356.63,2753385.74,0,14362,2014
9,200100090000000000, BOCOYNA ,98798114.54,22534378.45,4205000,3958069.81,9039940.5,0,4756930.2,0,39188084.72,15115710.86,0,0,118627834.4,24708804.35,5153031.68,8393490.78,9826272.69,0,2569193.8,0,52995814.82,14981226.3,0,0,28766,2014
10,200100100000000000, BUENAVENTURA ,63174098.28,23282764,3855500,8359199.45,5514290,1017000,1650000,649085,7087260.4,11758999.43,0,0,59020232.97,21757126.18,5246391.11,8678360.78,6063318.89,0,831543.94,0,5291831.49,11151420.58,240,0,22378,2014
11,200100110000000000, CAMARGO ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48748,2014
12,200100120000000000, CARICHI,47075655.36,11392666.67,4495886.14,2909099.07,2199631.45,407656.09,0,0,21049194.8,4621521.14,0,0,35159602.58,9343023.71,3771049.75,2898020.58,1577255.67,0,914917.71,0,13271971.43,3383363.73,0,0,8795,2014
13,200100130000000000, CASAS GRANDES ,36637886.52,12299572.34,1931122,9519003.12,1130000,954945.65,0,1000000,3846280.99,5956962.42,0,0,35367629.34,12476420.04,2077964.35,5198734.03,1981900.36,0,4896642.13,0,4503625.57,4007370.16,224972.7,0,10587,2014
14,200100180000000000, CHIHUAHUA ,2327938005,789833811.5,132213705,303035949,348111172,41366568,581614299.7,131762500,0,0,0,0,2500291205,869596931.1,165795395.1,331624042.9,402262143.7,64892891.03,491107275.5,92778078.09,0,0,82234447.28,0,819543,2014
15,200100190000000000, CHINIPAS ,49373605,8941201.33,2257000,7263775.88,3200000,1749804,2234822.4,0,19291497.14,4435504.25,0,0,43336977.79,9807156.3,2185341.54,4921035.55,3151028.65,0,1308018.71,0,18497727.82,3466669.22,0,0,8441,2014
16,200100140000000000, CORONADO ,17914803.98,8238209.1,2648795,1458281.27,1231000,400000,1446794.2,500000,791547.69,1200176.72,0,0,17551978.36,7392393.23,3294243.96,1966671.05,276604.95,0,2565155.81,0,762104.8,1294804.56,0,0,2284,2014
17,200100150000000000, COYAME DEL SOTOL ,20151425.69,10762501.77,2212969.24,1805400,2025829.11,80000,1624862.8,0,756545.28,883317.49,0,0,25845580.01,11786143.89,2885543.18,2882314.22,2605525.56,0,107963.5,0,458592.59,441871.37,4677625.7,0,1681,2014
18,200100160000000000, CUAUHTEMOC ,570411335.2,162737637.7,40062980.64,67279024.3,55475571.75,44177544,162645204.8,38033372,0,0,0,0,415670624.22,136666572.38,39016236.75,66011164.17,47945002.81,,80136016.79,,7222414.69,38673216.63,,0,154639,2014
19,200100170000000000, CUSIHUIRIACHI ,28428123.81,7471937.91,3979144.8,3587720,4023600,300000,3694911.54,0,2525907.29,2844902.27,0,0,27650489.43,7664593.19,2416597.24,5475621.63,4484797.8,0,1828367.24,0,2935625.02,2844887.31,0,0,5414,2014
20,200100200000000000, DELICIAS ,383616764.8,155381100,24243815.51,71476255.67,54412072.5,6260074.26,43000000,28713446.84,0,0,130000,0,428163060.7,173316057.4,26163263.97,77064142.2,59891761.69,0,90231871.68,1495963.79,0,0,0,0,137935,2014
21,200100210000000000, DR. BELISARIO DOMINGUEZ ,21624768.43,7820165.33,2641453.47,3049000,3549000,60000,1958561.2,0,1016941.13,1529647.3,0,0,23062532.57,8142120.24,3108075.84,3943050.8,3111437.03,0,2468120.12,0,686256.19,1603472.35,0,0,2911,2014
22,200100220000000000, EL TULE ,17501032.35,6115628.62,1095500,1447520,3888453.33,614841.32,2249758.42,0,1107224.58,982106.08,0,0,17314333.31,6300219.56,1146550.29,2247567.53,3734089.34,0,2035526.73,0,1130095.1,720284.76,0,0,1869,2014
23,200100230000000000, GALEANA ,24206129.78,8451946.4,2388000,4983400,2438610.66,0,0,1159462.79,1688632.32,3096077.61,0,0,27098938.24,8730908.28,2007223.51,6584922.22,2973961.67,0,1139152.18,0,2590776.6,3071993.78,0,0,5892,2014
24,200100240000000000, GOMEZ FARIAS ,30573735.35,6956397,2187000,5641000,7702200,0,1023035.8,0,2532437.03,4531665.52,0,0,31646861.96,9289123.93,4908826.86,8669624.34,4801992.04,0,0,0,1623146.19,2354148.6,0,0,8624,2014
25,200100250000000000, GRAN MORELOS ,20041034.57,6300641.28,2382500,3654536,2961000,60000,1615561.2,126119.57,1254438.73,1686237.79,0,0,21290709.33,6168824.51,2872201.36,3820454.69,3191216.79,0,2476520.23,0,1176453.75,1585038,0,0,3209,2014
26,200100280000000000, GUACHOCHI ,191099059.7,31077859.64,3662385.66,6447110,7164000,535000,791000,0,115311555,26110149.38,0,0,233650008.8,30942980.51,4443771.05,7843868.51,6996936.9,0,0,0,159653213.2,23769238.66,0,0,49689,2014
27,200100260000000000, GUADALUPE ,35577744.02,14556478,3386000,4235000,4729000,595000,2161794.34,0,2520977.25,3393494.43,0,0,33709071.1,13547760.57,3058328.25,4844185.1,4866211.42,0,3312768.68,7093,2469456.53,1603267.55,0,0,6458,2014
28,200100270000000000, GUADALUPE Y CALVO ,194925681.1,25290985,3344000,7464552.82,10975000,2300000,6821258.4,0,110617689.4,28112195.49,0,0,190246560.2,27381042.67,4236449.75,11941085.89,12281410.16,0,3526879.87,0,112459824.4,18419867.43,0,0,53499,2014
29,200100290000000000, GUAZAPARES ,43213722.82,13395631.39,1589278.16,2861500,2593184,350000,0,0,17695938.03,4728191.24,0,0,51381424.76,12845390.95,1863150.49,5132779.96,3259237.91,0,0,0,23503560.78,4777304.67,0,0,8998,2014
30,200100300000000000, GUERRERO ,124405721.4,31573000,2110000,12555792.81,17000000,3100000,8212436.1,3430000,25602162.05,20822330.48,0,0,137167289.7,33361237.15,3111895.79,14643243.07,17607747.55,0,10132772.95,0,37139234.51,21171158.72,0,0,39626,2014
31,200100310000000000, HIDALGO DEL PARRAL ,336658173.2,176292759.9,16017716.75,47028314.24,12590209.81,5778986.74,7102147.85,0,15363482,56257496,227059.91,0,389434849.4,164498161.4,17674131.85,44174208.23,14032195.69,0,75023092.09,78309.41,20302525.94,53652224.72,0,0,107061,2014
32,200100320000000000, HUEJOTITAN ,17917337.36,7828400.2,1600100,1553265.92,2372000,768000,2610585.32,0,633766.4,551219.52,0,0,15937125.17,8567040.43,1650502.37,1228784.6,2718665.09,0,1146361.58,0,218440.37,407330.73,0,0,1049,2014
33,200100330000000000, IGNACIO ZARAGOZA ,30453668.34,10229543.63,2544366.24,9349216.69,2052400,0,0,0,2634522.96,3643618.82,0,0,32042737.04,8675041.82,3021033.51,4017648.04,3511668.41,-1250,7801095.91,6306,89708.69,4907520.42,13964.24,0,6934,2014
34,200100340000000000, JANOS ,32951528.6,9271279.65,3926000,4410520.24,2056528.18,90719.88,2931848.6,0,4509143.59,5755488.46,0,0,37041984.67,9495135.74,4587433.16,5957896.44,2793253.72,1574.1,4163062.03,685,4486037.49,5556906.99,0,0,10953,2014
35,200100350000000000, JIMENEZ ,117497128.2,55495205,5962800,9472239.06,3770000,733500,0,6834358.4,3000000,32229025.73,0,0,128894063.9,58335806.85,10638585.84,14444248.17,6793153.5,0,2398911.94,0,14757592.56,21525765.08,0,0,41265,2014
36,200100360000000000, JUAREZ ,3291011262,1257834296,135200469.7,750190581.6,590275184.6,1003880,212786377,320350000,0,0,23370473.04,0,3504123025,1224691852,164121641,831959665,621537425,83466813,505723282,50323273,0,0,22299074,0,1332131,2014
37,200100370000000000, JULIMES ,24276888.8,9776543.78,2708454.42,2708500,2493000,692500,1705314.6,0,1589916.06,2602659.94,0,0,27163834.74,7299774.96,3328485.64,6003849.12,3917996.83,0,1330731.89,4600,2094723.05,3183673.25,0,0,4953,2014
38,200100380000000000, LA CRUZ ,20830924.82,7346782,2289000,5445735.54,2398000,450000,0,0,808980.09,2092427.19,0,0,19723208.62,8157276.48,3571832.97,3999153.94,2088495.77,0,454087.71,0,466028.12,986333.63,0,0,3982,2014
39,200100390000000000, LOPEZ ,23850809.77,9251059.93,3284123.01,2547000,1436013,1595000,1480931.1,1000000,1141660.27,2115022.46,0,0,22154160.74,8566399.11,4297915.39,3917348.45,2502629.87,0,920310.65,0,287591.75,1661965.52,0,0,4025,2014
40,200100400000000000, MADERA ,116451307.6,54677103.55,4765000,10997800,10510067.48,50000,0,2200600.64,17691001.74,15559734.21,0,0,93999442.46,44844796.06,2936928.52,10474990.52,9074177.69,0,2711076.75,150,12265145.25,11692177.67,0,0,29611,2014
41,200100410000000000, MAGUARICHI ,19210699.78,8391780,2444746.31,1621637.61,1517000,194000,1229410.7,0,2802694.56,1009430.6,0,0,20569590.61,8817099.08,3140214.66,1703892.96,1520027.41,0,222498.99,0,3580419.17,1115996.92,469441.42,0,1921,2014
42,200100420000000000, MANUEL BENAVIDES ,22001811.74,10640445.11,1457600,2203700,3328323,586000,1703018.95,476062,765382.94,841279.74,0,0,32413447.06,8889815.16,1856854.33,2688983.92,2979893.19,0,2967267.83,0,756157.51,747268.81,11527206.31,0,1601,2014
43,200100430000000000, MATACHI,19514192.11,6759550.12,2162000,2574000,2910000,232500,1346301,658239.99,1240538,1631063,0,0,19627071.35,6769007.84,2032098.37,3634620.25,3107531.41,0,604999.19,0,1864306.14,1614508.15,0,0,3104,2014
44,200100440000000000, MATAMOROS ,21698617.09,8385919.63,1573000,3760289.35,2255000,151000,1660437.9,330000,1218874.29,2364095.92,0,0,22694471.38,8500171.44,1892611.66,4108095.08,2483737.2,0,1959287.25,0,1298954.29,2451614.46,0,0,4499,2014
45,200100450000000000, MEOQUI ,105681999.8,41819271.6,4684000,10817700.56,12348408.96,1500000,0,3000000,8479629.92,23032988.74,0,0,109027785.7,44054440.7,5875682.49,14960792.3,10530398.81,57010.51,18889.05,67230.31,11187889.74,22229051.82,0,46400,43833,2014
46,200100460000000000, MORELOS ,43818074.75,10499857.53,1210896.25,2265000,1429082.2,650000,2175944.7,700000,20503286.01,4384008.06,0,0,43670183.81,10447479.52,3466220.2,2774221.01,2175472.38,0,929746,0,20392922.66,3484122.04,0,0,8343,2014
47,200100470000000000, MORIS ,27150868.87,8823917.14,2513801.28,2462288.17,1705000,69539.7,1826807.8,0,6958210.6,2791304.18,0,0,32982197.03,7661671.75,2461076.85,5645618.48,1634966.12,0,2640630.15,0,9208682.18,2574551.5,1155000,0,5312,2014
48,200100480000000000, NAMIQUIPA ,72938904,27830271.5,5166636.13,11545862.8,2248275.86,937513.69,6148108,0,7039449.94,12022786.08,0,0,80809680.76,27057767.25,8640574.04,17562451.58,2820690.7,0,36609.32,0,7563970.08,12683469.27,4444148.52,0,22880,2014
49,200100490000000000, NONOAVA ,21772617.88,7202668.1,1727800,2888032.17,3037019.72,35000,1484230.78,240000,3660799.04,1497068.07,0,0,23140695.11,6864651.82,2363764.69,3268250.27,3584876.9,0,1667795.33,0,1705727.45,1400220.94,2285407.71,0,2849,2014
50,200100500000000000, NUEVO CASAS GRANDES ,154486968.6,73901166.05,9096568.77,18339940,4655000,4684573,4100000,0,8529823,31179897.82,0,0,166488346.3,74119318.38,9283302.73,23148004.61,4994657.2,0,12155798.24,0,12628684.21,30158580.91,0,0,59337,2014
51,200100510000000000, OCAMPO ,43332800.88,9972665.33,1318000,6017640.29,2545000,140000,8380000,2748571.98,8245715.95,3965207.33,0,0,41954932.9,8697719.41,2723554.78,3809938.16,3621403.44,0,5430894.19,0,7772830.24,2252060.52,7646532.16,0,7546,2014
